Date,Open,High,Low,Close
2024-07-08,2387.285,2391.05,2351.23,2359.045
2024-07-09,2359.3,2371.395,2349.905,2364.025
2024-07-10,2363.905,2386.575,2363.225,2371.355
2024-07-11,2371.19,2424.445,2371.19,2415.345
2024-07-12,2415.415,2418.33,2391.59,2412.76
2024-07-15,2412.66,2439.7,2401.45,2422.3
2024-07-16,2422.44,2469.63,2420.09,2468.76
2024-07-17,2468.52,2483.615,2451.795,2458.925
2024-07-18,2459.035,2474.875,2440.545,2445.36
2024-07-19,2445.715,2445.715,2394.045,2398.595
2024-07-22,2402.11,2412.17,2384.04,2396.57
2024-07-23,2396.705,2412.06,2388.38,2409.56
2024-07-24,2409.075,2432.02,2396.92,2397.52
2024-07-25,2397.335,2401.19,2353.33,2364.45
2024-07-26,2364.47,2390.745,2355.995,2386.385
2024-07-29,2388.1,2403.23,2369.83,2384.125
2024-07-30,2383.635,2412.78,2376.66,2410.725
2024-07-31,2410.945,2450.95,2404.15,2447.64
2024-08-01,2448.675,2461.985,2430.375,2446.325
2024-08-02,2446.315,2477.655,2411.135,2437.455
2024-08-05,2444.65,2458.275,2364.435,2410.415
2024-08-06,2410.395,2418.22,2381.87,2390.72
2024-08-07,2391.82,2407.01,2379.24,2382.845
2024-08-08,2381.62,2427.58,2381.1,2427.5
2024-08-09,2427.27,2437.04,2416.97,2429.08
2024-08-12,2430.17,2473.285,2423.945,2472.8
2024-08-13,2471.27,2476.895,2458.595,2465.115
2024-08-14,2466.355,2478.815,2438.255,2448.005
2024-08-15,2447.96,2470.095,2432.525,2456.785
2024-08-16,2456.39,2508.875,2450.855,2508.135
2024-08-19,2509.14,2509.71,2485.93,2504.23
2024-08-20,2503.765,2531.66,2497.45,2513.975
2024-08-21,2513.825,2519.98,2493.92,2512.42
2024-08-22,2511.825,2514.7,2471.12,2484.8
2024-08-23,2484.885,2518.2,2484.5,2510.94
2024-08-26,2512.18,2526.82,2508.89,2518.05
2024-08-27,2517.9,2525.95,2503.83,2524.59
2024-08-28,2524.75,2528.94,2493.98,2504.735
2024-08-29,2504.63,2528.62,2504.1,2521.175
2024-08-30,2521.36,2526.94,2494.43,2502.54
2024-09-02,2502.97,2507.36,2490.38,2499.54
2024-09-03,2499.67,2506.35,2473.78,2492.96
2024-09-04,2493.04,2500.02,2471.97,2495.65
2024-09-05,2495.54,2523.47,2493.92,2516.76
2024-09-06,2516.835,2529.15,2485.33,2495.95
2024-09-09,2496.73,2507.22,2485.71,2506.22
2024-09-10,2506.63,2518.37,2500.26,2516.65
2024-09-11,2516.725,2528.63,2501.14,2511.52
2024-09-12,2512.22,2560.08,2511.12,2558.795
2024-09-13,2558.725,2586.105,2556.765,2582.845
2024-09-16,2578.7,2589.6,2575.51,2582.51
2024-09-17,2582.44,2586.92,2560.86,2569.59
2024-09-18,2569.435,2600.105,2547.165,2559.005
2024-09-19,2558.685,2594.73,2551.495,2586.77
2024-09-20,2586.87,2625.77,2585.1,2621.17
2024-09-23,2621.09,2634.815,2613.995,2628.545
2024-09-24,2628.585,2664.395,2622.875,2657.145
2024-09-25,2657.15,2670.55,2650.24,2657.17
2024-09-26,2657.155,2685.39,2655.17,2672.45
2024-09-27,2672.34,2674.3,2643.19,2652.05
2024-09-30,2658.825,2666.035,2625.255,2634.735
2024-10-01,2634.53,2672.775,2632.465,2663.435
2024-10-02,2663.675,2663.675,2641.7,2658.81
2024-10-03,2659.33,2662.6,2639.81,2656.21
2024-10-04,2656.195,2670.24,2632.44,2651.64
2024-10-07,2650.61,2659.67,2637.92,2642.66
2024-10-08,2642.655,2652.935,2604.855,2621.955
2024-10-09,2621.76,2624.395,2605.335,2607.825
2024-10-10,2607.715,2631.515,2605.315,2630.155
2024-10-11,2629.995,2661.485,2628.235,2656.195
2024-10-14,2653.36,2666.58,2643.36,2648.62
2024-10-15,2648.695,2668.925,2638.435,2662.855
2024-10-16,2662.85,2685.28,2658.77,2673.84
2024-10-17,2674.09,2696.75,2673.33,2693.1
2024-10-18,2692.92,2721.3,2692.39,2719.83
2024-10-21,2720.52,2740.585,2714.335,2719.745
2024-10-22,2719.755,2749.015,2718.96,2749.015
2024-10-23,2748.645,2758.345,2709.015,2715.52
2024-10-24,2715.62,2743.215,2715.57,2735.985
2024-10-25,2736.035,2745.035,2717.175,2742.535
2024-10-28,2734.665,2745.975,2724.845,2742.225
2024-10-29,2742.135,2775.34,2741.315,2774.68
2024-10-30,2774.71,2790.01,2771.09,2787.59
2024-10-31,2787.45,2790.08,2731.86,2746.205
